공항코드1(IATA),영문도시명
ADP,Ampara
ADQ,Kodiak
ADS,Dallas
ADU,Ardabil
ADV,Ed Daein
ADW,Camp Springs
ADZ,San Andres Island
AEA,Abemama Atoll
AEB,Baise
AEG,Padang Sidempuan
AEH,Abeche
AEM,Amgu
AEP,Buenos Aires
AER,Sochi
AES,alesund
AET,Allakaket
AEU,Abu Musa Island
AEX,Alexandria
AEY,Akureyri
AFA,San Rafael
AFK,Ampara
AFL,Alta Floresta
AFN,Jaffrey
AFS,Zarafshan
AFT,Afutara
AFW,Fort Worth
AFZ,Sabzevar
AGA,Agadir
AGB,Augsburg
AGC,Pittsburgh
AGF,Agen
AGH,Angelholm
AGJ,Aguni
AGL,Wanigela
AGN,Angoon
AGP,Malaga
AGR,Agra
AGS,Augusta
AGT,Ciudad del Este
AGU,Aguascalientes
AGV,Acarigua
AGX,Agatti Island
AHB,Abha
AHE,Ahe
AHJ,Hongyuan
AHN,Athens
AHO,Alghero
AHU,Al Hoceima
AIA,Alliance
AIC,Airok
AIM,Ailuk Atoll
AIN,Fort Wainwright
AIP,Adampur
AIR,Aripuana
AIS,Arorae Island
AIT,Aitutaki
AIU,Atiu Island
AJA,Ajaccio
AJF,Sakakah
AJI,Agri
AJK,Arak
AJL,Aizawl
AJN,Anjouan
AJR,Arvidsjaur
AJU,Aracaju
AJY,Agadez
AKA,Ankang
AKB,Atka
AKD,Akola
AKF,Kufra
AKI,Akiak
AKJ,Asahikawa
AKK,Akhiok
AKL,Auckland
AKN,King Salmon
AKP,Anaktuvuk Pass
AKR,Akure
AKS,Auki
AKU,Aksu
AKV,Akulivik
AKX,Aktobe
AKY,Sittwe
ALA,Almaty
ALB,Albany
ALC,Alicante
ALE,Alpine
ALF,Alta
ALG,Algiers
ALH,Albany
ALI,Alice
ALM,Alamogordo
ALO,Waterloo
ALP,Aleppo
ALQ,Alegrete
ALR,Alexandra
ALS,Alamosa
ALW,Walla Walla
ALY,Alexandria
ALZ,Lazy Bay
AMA,Amarillo
AMD,Ahmedabad
AMH,Arba Minch
AMI,Mataram
AMM,Amman
AMQ,Ambon
AMS,Amsterdam
AMV,Amderma
AMY,Ambatomainty
ANA,Angama Mara
ANC,Anchorage
ANE,Angers
ANF,Antofagasta
ANG,Angouleme
ANI,Aniak
ANK,Ankara
ANM,Antalaha
ANR,Antwerp
ANS,Andahuaylas
ANU,Antigua
ANV,Anvik
ANX,Andenes
AOC,Altenburg
AOE,EskiSehir
AOG,Anshan
AOI,Ancona
AOJ,Aomori
AOK,Karpathos
AOO,Altoona
AOR,Alor Setar
AOS,Amook Bay
AOT,Aosta
AOU,Attapeu
APA,Denver
APB,Apolo
APC,Napa
APF,Naples
APK,Apataki
APL,Nampula
APN,Alpena
APO,Apartado
APW,Apia
APX,Arapongas
AQA,Araraquara
AQG,Anqing
AQI,Qaisumah-Hafar al-Batin
AQJ,Aqaba
AQP,Arequipa
ARA,New Iberia
ARC,Arctic Village
ARD,Alor Island
ARH,Arkhangelsk
ARI,Arica
ARK,Arusha
ARM,Armidale
ARN,Stockholm
ARR,Alto RIo Senguer
ART,Watertown
ARU,Aracatuba
ARV,Minocqua-Woodruff
ARW,Arad
ARX,Aracati
ASA,Assab
ASB,Ashgabat
ASD,Andros Town
ASE,Aspen
ASF,Astrakhan
ASI,Ascension Island
ASJ,Amami
ASM,Asmara
ASO,Asosa
ASP,Alice Springs
ASR,Kayseri
AST,Astoria
ASU,Asuncion
ASV,Amboseli
ASW,Aswan
ATA,Huaraz
ATC,Arthur's Town
ATD,Atoifi
ATH,Athens
ATJ,Antsirabe
ATK,Atqasuk
ATL,Atlanta
ATM,Altamira
ATQ,Amritsar
ATT,Atmautluak
ATW,Appleton
ATY,Watertown
ATZ,Assiut
AUA,Aruba
AUC,Arauca
AUG,Augusta
AUH,Abu Dhabi
AUK,Alakanuk
AUL,Aur Atoll
AUO,Auburn
AUQ,Atuona
AUR,Aurillac
AUS,Austin
AUU,Aurukun
AUX,AraguaIna
AUY,Anatom Island
AVA,Anshun
AVL,Asheville
AVN,Avignon
AVP,Pittston Township
AVV,Melbourne
AWA,Awasa
AWD,Aniwa Island
AWZ,Ahvaz
AXA,The Valley
AXD,Alexandroupoli
AXF,Alxa Left Banner
AXJ,Amakusa
AXK,Ataq
AXM,Armenia
AXP,Spring Point
AXR,Arutua
AXT,Akita
AXU,Axum
AYN,Anyang
AYP,Ayacucho
AYQ,Yulara
AYT,Antalya
AZA,Phoenix
AZD,Yazd
AZI,Abu Dhabi
AZN,Andizhan
AZO,Kalamazoo
AZR,Adrar
AZS,El Catey
BAD,Bossier City
BAF,Westfield-Springfield
BAG,Baguio
BAH,Manama
BAI,Buenos Aires
BAL,Batman
BAQ,Barranquilla
BAR,Qionghai
BAS,Balalae Island
BAT,Barretos
BAV,Baotou
BAX,Barnaul
BAY,Baia Mare
BAZ,Barcelos
BBA,Balmaceda
BBG,Butaritari Atoll
BBI,Bhubaneswar
BBK,Kasane
BBL,Ballera gas plant
BBN,Bario
BBO,Berbera
BBQ,Barbuda
BBS,Yateley
BBU,Bucharest
BCA,Baracoa
BCD,Bacolod
BCI,Barcaldine
BCM,Bacau
BCN,Barcelona
BCO,Jinka
BCQ,Brak
BCT,Boca Raton
BCU,Bauchi
BCV,Belmopan
BDA,Hamilton
BDB,Bundaberg
BDD,Badu Island
BDH,Bandar Lengeh
BDJ,Banjarmasin
BDL,Windsor Locks
BDO,Bandung
BDP,Bhadrapur-Chandragadhi
BDQ,Vadodara
BDR,Bridgeport
BDS,Brindisi
BDU,Bardufoss
BEB,Benbecula
BED,Bedford
BEF,Bluefields
BEG,Belgrade
BEJ,Tanjung Redeb
BEK,Bareilly
BEL,Belem
BEM,Beni Mellal
BEN,Benghazi
BEO,Newcastle
BEP,Bellary
BER,Berlin
BES,Brest
BET,Bethel
BEU,Bedourie
BEW,Beira
BEY,Beirut
BEZ,Beru Island
BFC,Bloomfield
BFD,Bradford
BFF,Scottsbluff
BFH,Curitiba
BFI,Seattle
BFJ,Bijie
BFL,Bakersfield
BFM,Mobile
BFN,Bloemfontein
BFO,Chiredzi
BFQ,Puerto Pina
BFS,Belfast
BFT,Beaufort County
BFU,Bengbu
BFV,Buriram
BFX,Bafoussam
BGA,Bucaramanga
BGC,Braganca
BGF,Bangui
BGG,Bingl
BGI,Bridgetown
BGL,Baglung
BGM,Binghamton
BGN,Belaya Gora
BGO,Bergen
BGR,Bangor
BGW,Baghdad
BGX,Bage
BGY,Milan
BHB,Bar Harbor
BHD,Belfast
BHE,Blenheim
BHG,Brus Laguna
BHH,Bisha
BHI,BahIa Blanca
BHJ,Bhuj
BHK,Bukhara
BHM,Birmingham
BHO,Bhopal
BHP,Bhojpur
BHQ,Broken Hill
BHR,Bharatpur
BHS,Bathurst
BHU,Bhavnagar
BHV,Bahawalpur
BHX,Birmingham
BHY,Beihai
BIA,Bastia
BIB,Baidoa
BID,Block Island
BIF,El Paso
BIH,Bishop
BII,Bikini Atoll
BIK,Biak
BIL,Billings
BIM,Bimini
BIN,Bamyan
BIO,Bilbao
BIQ,Biarritz
BIR,Biratnagar
BIS,Bismarck
BIU,BIldudalur
BJA,Bejaia
BJB,Bojnord
BJC,Denver
BJF,Batsfjord
BJI,Bemidji
BJL,Banjul
BJM,Bujumbura
BJR,Bahir Dar
BJT,Bentota
BJU,Bajura
BJV,Bodrum
BJW,Bajawa
BJX,Leon
BJZ,Badajoz
BKB,Bikaner
BKC,Buckland
BKG,Branson
BKI,Kota Kinabalu
BKK,Bangkok
BKL,Cleveland
BKM,Bakelalan
BKN,Balkanabat
BKO,Bamako
BKQ,Blackall
BKS,Bengkulu
BKW,Beckley
BKX,Brookings
BKY,Bukavu
BKZ,Bukoba
BLA,Barcelona
BLB,Panama Pacifico
BLD,Boulder City
BLE,BorlAnge
BLI,Bellingham
BLJ,Batna
BLK,Blackpool
BLL,Billund
BLQ,Bologna
BLR,Bangalore
BLU,Emigrant Gap
BLV,Belleville
BLZ,Blantyre
BMA,Stockholm
BMB,Bumba
BMD,Belo sur Tsiribihina
BME,Broome
BMG,Bloomington
BMI,Bloomington
BMK,Borkum
BMO,Bhamo
BMP,Brampton Island
BMU,Bima
BMV,Buon Ma Thuot
BMW,Bordj Badji Mokhtar
BMY,Waala
BNA,Nashville
BNB,Boende
BNC,Beni
BND,Bandar Abbas
BNE,Brisbane
BNI,Benin City
BNK,Ballina
BNN,Bronnoysund
BNS,Barinas
BNX,Banja Luka
BNY,Bellona Island
BOA,Boma
BOB,Bora Bora
BOC,Bocas Town
BOD,Bordeaux
BOG,Bogota
BOH,Bournemouth
BOI,Boise
BOJ,Burgas
BOM,Mumbai
BON,Kralendijk
BOO,Bodo
BOS,Boston
BOY,Bobo-Dioulasso
BPC,Bamenda
BPE,Qinhuangdao
BPF,Batuna
BPG,Barra do Garcas
BPL,Bole
BPM,Hyderabad
BPN,Balikpapan
BPS,Porto Seguro
BPT,Beaumont
BPX,Qamdo
BPY,Besalampy
BQA,Baler
BQB,Busselton
BQG,Bogorodskoye
BQH,London Biggin Hill
BQJ,Batagay
BQK,Brunswick
BQL,Boulia
BQN,Aguadilla
BQS,Blagoveshchensk
BQT,Brest
BRA,Barreiras
BRB,Barreirinhas
BRC,San Carlos de Bariloche
BRD,Brainerd
BRE,Bremen
BRI,Bari
BRK,Bourke
BRL,Burlington
BRM,Barquisimeto
BRN,Bern
BRO,Brownsville
BRQ,Brno
BRR,Barra
BRS,Bristol
BRT,Bathurst Island
BRU,Brussels
BRW,Barrow
BRX,Barahona
BSA,Bosaso
BSB,BrasIlia
BSC,BahIa Solano
BSD,Baoshan
BSG,Bata
BSK,Biskra
BSL,Basel
BSO,Basco
BSP,Bensbach
BSR,Basra
BST,Lashkar Gah
BSU,Basankusu
BSX,Pathein
BTA,Bertoua
BTC,Batticaloa
BTH,Batam
BTI,Barter Island
BTJ,Banda Aceh
BTK,Bratsk
BTL,Battle Creek
BTM,Butte
BTR,Baton Rouge
BTS,Bratislava
BTT,Bettles
BTU,Bintulu
BTV,Burlington
BTW,Batu Licin
BUA,Buka Island
BUC,Burketown
BUD,Budapest
BUF,Buffalo
BUG,Benguela
BUL,Bulolo
BUN,Buenaventura
BUP,Bathinda
BUQ,Bulawayo
BUR,Burbank
BUS,Batumi
BUT,Jakar
BUU,Bungo Regency
BUW,Baubau
BUX,Bunia
BUZ,Bushehr
BVA,Beauvais
BVB,Boa Vista
BVC,Boa Vista
BVE,Brive-la-Gaillarde
BVG,Berlevag
BVH,Vilhena
BVI,Birdsville
BWA,Siddharthanagar
BWB,Barrow Island
BWE,Braunschweig
BWG,Bowling Green
BWI,Baltimore Washington metropolitan area
BWK,Bol
BWN,Bandar Seri Begawan
BWO,Balakovo
BWT,Burnie
BWU,Bankstown
BWW,Cayo Santa MarIa
BWX,Banyuwangi
BXB,Babo
BXG,Bendigo
BXH,Balkhash
BXN,Bodrum
BXR,Bam
BXT,Bontang
BXU,Butuan
BXW,Bawean
BXY,Baikonur
BYC,YacuIba
BYF,Albert
BYH,Blytheville
BYJ,Beja
BYK,Bouake
BYM,Bayamo
BYN,Bayankhongor
BYO,Bonito
BYP,Barimunya
BYR,Laeso
BZA,Bonanza
BZC,Armacao dos BUzios
BZE,Belize City
BZG,Bydgoszcz
BZI,Balikesir
BZK,Bryansk
BZL,Barisal
BZN,Bozeman
BZO,Bolzano
BZR,Beziers
BZV,Brazzaville
BZX,Bazhong
BZY,Balti
CAB,Cabinda
CAC,Cascavel
CAE,Columbia
CAF,Carauari
CAG,Cagliari
CAH,Ca Mau
CAI,Cairo
CAJ,Canaima
CAK,Akron
CAL,Campbeltown
CAN,Guangzhou
CAO,Clayton
CAP,Cap-Haitien
CAQ,Caucasia
CAT,Cascais
CAU,Caruaru
CAW,Campos dos Goytacazes
CAX,Carlisle
CAY,Cayenne
CAZ,Cobar
CBB,Cochabamba
CBD,Car Nicobar
CBG,Cambridge
CBH,Bechar
CBI,Cape Barren Island
CBJ,Pedernales
CBL,Ciudad BolIvar
CBO,Cotabato City
CBQ,Calabar
CBR,Canberra
CBS,Cabimas
CBT,Catumbela
CBU,Cottbus
CCA,Chimore
CCB,Upland
CCC,Cayo Coco
CCF,Carcassonne
CCI,Concordia
CCJ,Kozhikode
CCK,Cocos Islands
CCL,Chinchilla
CCM,CriciUma
CCN,Chaghcharan
CCP,Concepcion
CCR,Concord
CCS,Caracas
CCU,Kolkata
CCV,Craig Cove
CCX,Caceres
CCZ,Chub Cay
CDB,Cold Bay
CDC,Cedar City
CDE,Chengde
CDG,Paris
CDI,Cachoeiro de Itapemirim
CDP,Kadapa
CDR,Chadron
CDT,Castellon de la Plana
CDU,Camden
CDV,Cordova
CEB,Lapu-Lapu
CEC,Crescent City
CED,Ceduna
CEE,Cherepovets
CEF,Springfield
CEG,Chester
CEH,Chelinda
CEI,Chiang Rai
CEK,Chelyabinsk
CEL,Canela
CEM,Central
CEN,Ciudad Obregon
CEQ,Cannes
CER,Cherbourg-Octeville
CEZ,Cortez
CFB,Cabo Frio
CFC,Cacador
CFE,Clermont-Ferrand
CFG,Cienfuegos
CFK,Chlef
CFN,County Donegal
CFO,Confresa
CFR,Caen
CFS,Coffs Harbour
CFU,Corfu
CGA,Craig
CGB,Cuiaba
CGD,Changde
CGH,Sao Paulo
CGI,Cape Girardeau
CGK,Jakarta
CGM,Mambajao
CGN,Cologne
CGO,Zhengzhou
CGP,Chittagong
CGQ,Changchun
CGR,Campo Grande
CGY,Cagayan de Oro
CHA,Chattanooga
CHC,Christchurch
CHG,Chaoyang
CHH,Chachapoyas
CHM,Chimbote
CHO,Charlottesville
CHQ,Chania
CHR,Chateauroux
CHS,Charleston
CHT,Chatham Islands
CHU,Chuathbaluk
CHX,Changuinola
CHY,Choiseul Bay
CIA,Rome
CIC,Chico
CID,Cedar Rapids
CIF,Chifeng
CIH,Changzhi
CII,Aydin
CIJ,Cobija
CIK,Chalkyitsik
CIP,Chipata
CIT,Shymkent
CIU,Sault Ste Marie
CIW,Canouan
CIX,Chiclayo
CIY,Comiso
CIZ,Coari
CJA,Cajamarca
CJB,Coimbatore
CJC,Calama
CJF,Coondewanna
CJJ,Cheongju
CJL,Chitral
CJM,Chumphon
CJN,Cijulang
CJS,Ciudad Juarez
CJU,Jeju
CKB,Clarksburg
CKC,Cherkasy
CKD,Crooked Creek
CKG,Chongqing
CKH,Chokurdakh
CKI,Croker Island
CKS,Parauapebas
CKW,Christmas Creek mine
CKX,Chicken
CKY,Conakry
CKZ,canakkale
CLD,Carlsbad
CLE,Cleveland
CLJ,Cluj-Napoca
CLK,Clinton
CLL,College Station
CLM,Port Angeles
CLO,Cali
CLP,Clark's Point
CLQ,Colima City
CLT,Charlotte
CLU,Columbus
CLV,Caldas Novas
CLY,Calvi
CMA,Cunnamulla
CMB,Colombo
CME,Ciudad del Carmen
CMF,Chambery
CMG,Corumba
CMH,Columbus
CMI,Champaign
CMJ,Qimei
CMK,Club Makokola
CMN,Casablanca
CMQ,Clermont
CMU,Kundiawa
CMW,Camagey
CMX,Hancock
CNC,Coconut (Poruma) Island
CND,Constanta
CNF,Belo Horizonte
CNI,Changhai
CNJ,Cloncurry
CNL,Sindal
CNM,Carlsbad
CNN,Kannur
CNP,Ittoqqortoormiit
CNQ,Corrientes
CNS,Cairns
CNX,Chiang Mai
CNY,Moab
COC,Concordia
COD,Cody
COG,Condoto
COH,Cooch Behar
COK,Cochin
COL,Coll
COO,Cotonou
COQ,Choibalsan
COR,Cordoba
COS,Colorado Springs
COU,Columbia
CPB,Capurgana
CPC,San MartIn de los Andes
CPD,Coober Pedy
CPE,Campeche
CPF,Cepu
CPH,Copenhagen
CPO,Copiapo
CPR,Casper
CPS,Cahokia
CPT,Cape Town
CPV,Campina Grande
CPX,Culebra
CQD,Shahrekord
CQF,Calais-Dunkerque
CQM,Ciudad Real
CQW,Wulong
CRA,Craiova
CRC,Cartago
CRD,Comodoro Rivadavia
CRI,Colonel Hill
CRK,Angeles
CRL,Charleroi
CRM,Catarman
CRP,Corpus Christi
CRQ,Caravelas
CRV,Crotone
CRW,Charleston
CRZ,Trkmenabat
CSA,Colonsay
CSG,Columbus
CSH,Solovetsky Islands
CSK,Cap Skirring
CSO,Magdeburg
CSU,Santa Cruz do Sul
CSX,Changsha
CSY,Cheboksary
CTA,Catania
CTB,Cut Bank
CTC,Catamarca
CTD,Chitre
CTF,Coatepeque
CTG,Cartagena
CTL,Charleville
CTM,Chetumal
CTN,Cooktown
CTS,Sapporo
CTU,Chengdu
CUA,Ciudad Constitucion
CUC,CUcuta
CUE,Cuenca
CUF,Cuneo
CUK,CayeCaulker
CUL,Culiacan
CUM,Cumana
CUN,CancUn
CUQ,Coen
CUR,Willemstad
CUU,Chihuahua
CUZ,Cusco
CVG,Hebron
CVJ,Cuernavaca
CVM,Ciudad Victoria
CVN,Clovis
CVQ,Carnarvon
CVT,Coventry
CVU,Corvo Island
CWA,Mosinee
CWB,Curitiba
CWC,Chernivtsi
CWF,Lake Charles
CWI,Clinton
CWJ,Nuoliang Township
CWL,Cardiff
CXB,Cox's Bazar
CXF,Coldfoot
CXH,Vancouver
CXI,Christmas Island
CXJ,Caxias do Sul
CXO,Houston
CXP,Cilacap
CXR,NhaTrang
CYA,Les Cayes
CYB,Cayman Brac
CYC,CayeChapel
CYD,SanIgnacio
CYF,Chefornak
CYI,Chiayi
CYO,Cayo Largo del Sur
CYP,Calbayog
CYS,Cheyenne
CYU,Cuyo
CYX,Chersky
CYZ,Cauayan
CZA,Chichen Itza
CZE,Coro
CZH,Corozal
CZJ,Corazon de JesUs
CZL,Constantine
CZM,Cozumel
CZN,Chisana
CZS,Cruzeiro do Sul
CZU,Corozal
CZX,Changzhou
DAB,Daytona Beach
DAC,Dhaka
DAD,Da Nang
DAL,Dallas
DAM,Damascus
DAR,Dar es Salaam
DAT,Datong
DAU,Daru
DAV,David
DAX,Dazhou
DAY,Dayton
DBA,Dalbandin
DBB,El Alamein
DBC,Baicheng
DBO,Dubbo
DBQ,Dubuque
DBR,Darbhanga
DBU,Dambulla
DBV,Dubrovnik
DCA,Washington
DCF,Roseau
DCG,Dubai
DCM,Castres
DCN,Derby
DCY,Daocheng
DDC,Dodge City
DDD,Dhaalu Atoll
DDG,Dandong
DDU,Dadu
DEA,Dera Ghazi Khan
DEB,Debrecen
DEC,Decatur
DED,Dehradun
DEE,Yuzhno-Kurilsk
DEF,Dezful
DEL,Delhi
DEM,Dembidolo
DEN,Denver
DEP,Daporijo
DET,Detroit
DEX,Yahukimo
DEZ,Deir ez-Zor
DFW,Dallas
DGA,Dangriga
DGE,Mudgee
DGH,Deoghar
DGO,Durango
DGT,Dumaguete
DHI,Dhangadhi
DHM,Kangra
DHN,Dothan
DHR,Den Helder
DIB,Dibrugarh
DIE,Antsiranana
DIG,Shangri-La
DIJ,Dijon
DIK,Dickinson
DIL,Dili
DIN,Dien Bien Phu
DIO,Diomede
DIQ,Divinopolis
DIR,Dire Dawa
DIS,Dolisie
DIU,Diu
DIW,Dickwella
DIY,Diyarbakir
DJB,Jambi
DJE,Djerba
DJG,Djanet
DJH,Jebel Ali
DJJ,Jayapura
DJM,Djambala
DJN,Delta Junction
DJO,Daloa
DKA,Katsina
DKI,Dunk Island
DKR,Dakar
DKS,Dikson
DLA,Douala
DLC,Dalian
DLE,Dole
DLG,Dillingham
DLH,Duluth
DLI,Da Lat
DLM,Dalaman
DLU,Dali
DLY,Dillon's Bay
DLZ,Dalanzadgad
DMA,Tucson
DMB,Taraz
DMD,Doomadgee
DME,Moscow
DMK,Bangkok
DMM,Dammam
DMU,Dimapur
DNA,Kadena
DND,Dundee
DNH,Dunhuang
DNK,Dnipro
DNQ,Deniliquin
DNR,Dinard
DNV,Danville
DNZ,Denizli
DOB,Dobo
DOD,Dodoma
DOG,Dongola
DOH,Doha
DOK,Donetsk
DOL,Deauville
DOM,St Andrew Parish
DOP,Dolpa
DOU,Dourados
DOV,Dover
DOY,Dongying
DPA,West Chicago
DPB,Cameron
DPL,Dipolog
DPO,Devonport
DPS,DenpasarBali
DPT,Deputatsky
DQA,Daqing
DQM,Duqm
DRB,Derby
DRG,Deering
DRK,Drake Bay
DRO,Durango
DRP,Daraga
DRS,Dresden
DRT,Del Rio
DRV,Dharavandhoo
DRW,Darwin
DSA,Doncaster
DSE,Dessie
DSI,OkaloosaC
DSK,Dera Ismail Khan
DSM,Des Moines
DSN,Ordos
DSS,Dakar
DTB,Siborong-Borong
DTD,Datadawai
DTI,Diamantina
DTM,Dortmund
DTU,Wudalianchi
DTW,Detroit
DUB,Dublin
DUD,Dunedin
DUE,Dundo
DUJ,DuBois
DUM,Dumai
DUR,Durban
DUS,Dusseldorf
DUT,DutchHarb
DVD,Andavadoaka
DVL,Devils Lake
DVO,Davao
DVT,Phoenix
DWB,Soalala
DWC,Dubai
DWD,Dawadmi
DWO,kotte
DXB,Dubai
DXE,Madison
DXR,Danbury
DYG,Zhangjiajie
DYR,Anadyr
DYU,Dushanbe
DZA,Dzaoudzi
DZH,Dazhou
DZN,Zhezkazgan
EAE,Emae Island
EAL,Mejato Island
EAM,Najran
EAR,Kearney
EAS,San Sebastian
EAT,Wenatchee
EAU,Eau Claire
EBA,Elba
EBB,Entebbe
EBD,El Obeid
EBG,El Bagre
EBH,El Bayadh
EBJ,Esbjerg
EBL,Erbil
EBO,EbonIsland
EBU,Saint-etienne
ECI,Rivas
ECN,Ercan
ECP,Panama City
EDA,Edna Bay
EDI,Edinburgh
EDL,Eldoret
EDO,Edremit
EDR,Pormpuraaw
EDW,Edwards
EEK,Eek
EFD,Houston
EFL,Kefallinia
EGC,Bergerac
EGE,Vail/Eagle
EGM,Seghe
EGN,Geneina
EGO,Belgorod
EGS,Egilsstaoir
EGV,Eagle River
EGX,Egegik
EHL,El Bolson
EHU,Echeng District
EIK,Eisk
EIL,Fairbanks
EIN,Eindhoven
EIS,Tortola
EJA,Barrancabermeja
EJH,Al Wajh
EJN,Ejin Banner
EJT,Enejit
EKO,Elko
EKS,Shakhtyorsk
ELC,Elcho Island
ELD,El Dorado
ELF,El Fasher
ELG,El Golea
ELH,North Eleuthera
ELI,Elim
ELL,Ellisras
ELM,Elmira
ELP,El Paso
ELQ,Buraidah
ELS,East London
ELT,El Tor
ELU,El Oued
ELV,Elfin Cove
ELY,Ely
EMA,East Midlands
EMD,Emerald
EMK,Emmonak
EML,Emmen
EMN,Nema
EMO,Emo
ENA,Kenai
ENE,Ende
ENF,Enontekio
ENH,Enshi
ENI,El Nido
ENO,Encarnacion
ENS,Enschede
ENT,Enewetak
ENU,Enugu
ENW,Kenosha
ENY,Yan'an
EOH,MedellIn
EOI,Eday
EPA,El Palomar
EPL,epinal
EPR,Esperance
EPU,PArnu
EQS,Esquel
ERC,Erzincan
ERF,Erfurt
ERG,Yerbogachen
ERH,Errachidia
ERI,Erie
ERL,Erenhot
ERM,Erechim
ERN,Eirunepe
ERQ,Eloise Copper Mine
ERS,Windhoek
ERZ,Erzurum
ESB,Ankara
ESC,Escanaba
ESD,Eastsound
ESG,Mariscal Estigarribia
ESH,Shoreham
ESL,Elista
ESM,Esmeraldas
ESR,El Salvador
ESS,Essen
ESU,Essaouira
ETM,Eilat
ETR,Santa Rosa
ETZ,Metz/Nancy
EUA,Eua
EUG,Eugene
EUN,Laayoune
EUQ,Antique
EUX,StEustatius
EVA,Evadale
EVE,Harstad-Narvik
EVG,Sveg
EVN,Yerevan
EVV,Evansville
EWB,New Bedford
EWE,Ewer
EWI,Enarotali
EWN,New Bern
EWR,Newark
EXI,Excursion
EXT,Exeter
EYK,Beloyarsky
EYP,Yopal
EYW,Key West
EZE,Buenos Aires
EZS,Elazig
EZV,Beryozovo
FAA,Faranah
FAB,Farnborough
FAC,Faaite
FAE,FaroeIs
FAH,Farah
FAI,Fairbanks
FAO,Faro
FAR,Fargo
FAT,Fresno
FAU,Fahud
FAV,Fakarava
FAY,Fayetteville
FAZ,Fasa
FBA,Fonte Boa
FBD,Fayzabad
FBE,Francisco Beltrao
FBM,Lubumbashi
FBS,Friday Harbor
FCA,Kalispell
FCN,Cuxhaven
FCO,Rome
FDE,Forde
FDF,Fort de France
FDH,Friedrichshafen
FEC,Feira de Santana
FEG,Fergana
FEN,Fernando de Noronha
FEZ,Fez
FGI,Apia
FGU,Fangatau
FHU,Fort Huachuca
FHZ,Fakahina
FIE,Fair Isle
FIH,Kinshasa
FIZ,Fitzroy Crossing
FJR,Fujairah
FKB,Karlsruhe
FKI,Kisangani
FKL,Franklin
FKQ,Fakfak
FKS,Fukushima
FLA,Florencia
FLG,Flagstaff
FLI,Flateyri
FLL,Fort Lauderdale
FLN,Florianopolis
FLO,Florence
FLR,Florence
FLS,Flinders Island
FLW,Flores Island
FLZ,Sibolga
FMA,Formosa
FMI,Kalemie
FMM,Memmingen
FMN,Farmington
FMO,Mnster
FMY,Fort Myers
FNA,Freetown
FNB,Neubrandenburg
FNC,Funchal
FND,Funadhoo
FNE,Fane
FNI,NImes
FNJ,Pyongyang
FNL,Fort Collins
FNT,Flint
FOA,Foula
FOC,Fuzhou
FOD,Fort Dodge
FOE,Topeka
FOG,Foggia
FON,Fortuna
FOR,Fortaleza
FOY,Foya
FPO,Freeport
FRA,Frankfurt
FRC,Franca
