공항코드1(IATA),영문도시명
FRD,Friday Harbor
FRE,Fera Island
FRG,Farmingdale
FRL,Forli
FRO,Floro
FRS,Flores
FRU,Bishkek
FRW,Francistown
FSC,Figari
FSD,Sioux Falls
FSM,Fort Smith
FSP,Saint Pierre
FSZ,Shizuoka
FTA,Futuna Island
FTE,El Calafate
FTI,Fitiuta
FTU,Tolanaro
FTW,Fort Worth
FTY,Atlanta
FUE,Fuerteventura
FUG,Fuyang
FUJ,Fukue
FUK,Fukuoka
FUN,Funafuti
FUO,Foshan
FUT,Futuna Island
FVM,Fuvahmulah
FWA,Fort Wayne
FXE,Fort Lauderdale
FXO,Cuamba
FYJ,Fuyuan
FYN,Fuyun
FYT,Faya Largeau
FYU,Fort Yukon
FYV,Fayetteville
FZL,Fuzuli
GAC,Gracias
GAE,Gabes
GAF,Gafsa
GAJ,Yamagata
GAL,Galena
GAM,Gambell
GAN,Gan Island
GAO,Guantanamo
GAQ,Gao
GAS,Garissa
GAU,Guwahati
GAX,Gamba
GAY,Gaya
GBB,Qabala
GBD,Great Bend
GBE,Gaborone
GBI,Kalaburagi
GBL,Goulburn Islands
GBT,Gorgan
GBW,Ginbata
GCC,Gillette
GCH,Gachsaran
GCI,The Forest
GCJ,Johannesburg
GCK,Garden City
GCM,Grand Cayman
GCN,Grand Canyon
GCT,Whitmore
GCW,Peach Springs
GDE,Gode
GDL,Guadalajara
GDN,Gdansk
GDO,Guasdualito
GDQ,Gondar
GDT,Grand Turk Island
GDV,Glendive
GDX,Magadan
GDZ,Gelendzhik
GEA,Noumea
GEG,Spokane
GEL,Santo angelo
GEM,Mengomeyen
GEO,Georgetown
GER,Nueva Gerona
GES,General Santos
GET,Geraldton
GEV,GAllivare
GFF,Griffith
GFK,Grand Forks
GFN,Grafton
GGG,Longview
GGM,Kakamega
GGR,Garowe
GGT,GeorgeTown
GGW,Glasgow
GHA,Ghardaia
GHB,Governor's Harbour
GHC,Great Harbour Cay
GHE,Garachine
GHS,Melak
GHT,Ghat
GHV,Brasov
GIB,Gibraltar
GIC,Boigu Island
GIG,Rio de Janeiro
GIL,Gilgit
GIS,Gisborne
GIT,Geita
GIU,Sigiriya
GIZ,Jizan
GJA,Guanaja
GJL,Jijel
GJR,Gjgur
GJT,Grand Junction
GKA,Goroka
GKK,Kooddoo
GLA,Glasgow
GLF,Golfito
GLH,Greenville
GLK,Galkayo
GLN,Guelmim
GLO,Gloucester
GLT,Gladstone
GLU,Gelephu
GLV,Golovin
GLX,Galela
GMA,Gemena
GMB,Gambela
GMD,Ben Slimane
GME,Gomel
GMO,Gombe
GMP,Seoul
GMQ,Golog
GMR,Totegegie
GMZ,La Gomera
GNA,Grodno
GNB,Grenoble
GND,Grenada
GNI,Lyudao
GNJ,Ganja
GNM,Guanambi
GNS,Gunungsitoli
GNU,Goodnews Bay
GNV,Gainesville
GNY,Sanliurfa
GOA,Genoa
GOB,Goba
GOH,Nuuk
GOI,Goa
GOJ,Nizhny Novgorod
GOM,Goma
GOP,Gorakhpur
GOQ,Golmud
GOT,Gothenburg
GOU,Garoua
GOV,Nhulunbuy
GOX,Mopa
GOZ,Gorna Oryahovitsa
GPA,Patras
GPB,Guarapuava
GPD,Mount Gordon Mine
GPI,Guapi
GPN,GardenPnt
GPO,General Pico
GPS,Baltra Island
GPT,Gulfport
GRB,Green Bay
GRD,Greenwood
GRF,Tacoma
GRI,Grand Island
GRJ,George
GRK,Killeen
GRN,Gordon
GRO,Girona
GRQ,Groningen
GRR,Grand Rapids
GRS,Grosseto
GRU,Sao Paulo
GRV,Grozny
GRW,Graciosa
GRX,Granada
GRY,GrImsey
GRZ,Graz
GSA,Long Pasia
GSE,Gothenburg
GSM,Qeshm
GSO,Greensboro
GSP,Greenville
GSQ,Sharq Al Owainat
GST,Gustavus
GSV,Saratov
GTA,Gatokae
GTE,Groote Eylandt
GTF,Great Falls
GTO,Gorontalo
GTP,Grants Pass
GTR,Columbus
GTS,The Granites
GTZ,Grumeti
GUA,Guatemala City
GUB,Guerrero Negro
GUC,Gunnison
GUF,Gulf Shores
GUM,Guam
GUR,Alotau
GUW,Atyrau
GUZ,Guarapari
GVA,Geneva
GVN,Sovetskaya Gavan
GVR,Governador Valadares
GWD,Gwadar
GWL,Gwalior
GWO,Greenwood
GWT,Sylt
GWY,Galway
GXF,Sayun
GXH,Xiahe
GYA,GuayaramerIn
GYD,Baku
GYE,Guayaquil
GYG,Magan
GYI,Gisenyi
GYL,Argyle
GYM,Guaymas
GYN,Goiania
GYR,Goodyear
GYS,Guangyuan
GYU,Guyuan
GYZ,Gruyere
GZG,Garze County
GZI,Ghazni
GZO,Gizo
GZP,GazipaSa
GZT,Gaziantep
HAA,Hasvik
HAC,Hachijo jima
HAD,Halmstad
HAH,Moroni
HAJ,Hanover
HAK,Haikou
HAM,Hamburg
HAN,Hanoi
HAQ,Hanimaadhoo
HAR,Harrisburg
HAS,Hail
HAU,Haugesund
HAV,Havana
HBA,Hobart
HBE,Borg El Arab
HBQ,Qilian
HBU,Bulgan (Khovd Province)
HBX,Hubli
HCJ,Hechi
HCN,Hengchun
HCQ,Halls Creek
HCR,Holy Cross
HCZ,Chenzhou
HDD,Hyderabad
HDF,Heringsdorf
HDG,Handan
HDK,Kulhudhuffush
HDM,Hamadan
HDN,Hayden
HDS,Hoedspruit
HDY,Hat Yai
HEA,Herat
HEH,Heho
HEK,Heihe
HEL,Helsinki
HEM,Helsinki
HER,Heraklion
HET,Hohhot
HEZ,Natchez
HFA,Haifa
HFD,Hartford
HFE,Hefei
HFN,Hornafjordur
HFS,Hagfors
HFT,Hammerfest
HGA,Hargeisa
HGD,Hughenden
HGH,Hangzhou
HGI,Higlieg
HGL,Heligoland
HGN,Mae Hong Son
HGO,Korhogo
HGR,Hagerstown
HGU,Mount Hagen
HHH,Hilton Head Island
HHN,Lautzenhausen
HHQ,Hua Hin
HHR,Hawthorne
HHZ,Hikueru
HIA,Huai'an
HIB,Hibbing
HID,Horn Island
HIJ,Hiroshima
HIL,Shilavo
HIM,Hingurakgoda
HIN,Jinju
HIR,Honiara
HJJ,Huaihua
HJR,Khajuraho
HKB,Healy Lake
HKD,Hakodate
HKG,Hong Kong
HKK,Hokitika
HKN,Hoskins
HKS,Jackson
HKT,Phuket
HLA,Johannesburg
HLD,Hailar
HLE,Jamestown
HLH,Ulanhot
HLN,Helena
HLP,Jakarta
HLT,Hamilton
HLZ,Hamilton
HMA,Khanty-Mansiysk
HMB,Sohag
HME,Hassi Messaoud
HMI,Hami
HMJ,Khmelnytsky
HMO,Hermosillo
HMV,Hemavan
HNA,Hanamaki
HND,Tokyo
HNH,Hoonah
HNL,Honolulu
HNM,Hana
HNS,Haines
HNY,Hengyang
HOB,Hobbs
HOD,Hudaydah
HOE,Ban Huoeisay
HOF,Hofuf
HOG,HolguIn
HOI,Hao
HOM,Homer
HON,Huron
HOP,Hopkinsville
HOQ,Hof
HOR,Horta
HOS,Chos Malal
HOT,Hot Springs
HOU,Houston
HOV,orsta-Volda
HOX,Homalin
HPA,Ha'Apai
HPB,Hooper Bay
HPG,Shennongjia
HPH,Haiphong
HPN,Westcheste
HRB,Harbin
HRE,Harare
HRG,Hurghada
HRI,Hambantota
HRK,Kharkiv
HRL,Harlingen
HRM,Hassi R'Mel
HRO,Harrison
HSA,Turkistan
HSC,Shaoguan
HSG,Saga
HSK,Huesca
HSL,Huslia
HSN,Zhoushan
HSR,Rajkot
HSS,Hisar
HSV,Huntsville
HTA,Chita
HTG,Khatanga
HTI,Hamilton Island
HTM,Khatgal
HTN,Hotan
HTO,East Hampton
HTS,Huntington
HTT,Huatugou
HTY,Hatay
HUE,Humera
HUF,Terre Haute
HUH,Huahine
HUI,Hue
HUN,Hualien
HUO,Holingol
HUQ,Hun
HUS,Hughes
HUU,Huanuco
HUW,Humaita
HUX,Huatulco
HUY,Humberside
HUZ,Huizhou
HVB,Hervey Bay
HVD,Khovd
HVG,Honningsvag
HVN,New Haven
HVR,Havre
HWD,Hayward
HWO,Hollywood
HXD,Delingha
HYA,Hyannis
HYD,Hyderabad
HYG,Hydaburg
HYL,Hollis
HYN,Taizhou
HYS,Hays
HZA,Heze
HZG,Hanzhong
HZH,Liping
HZK,HUsavIk
IAA,Igarka
IAD,Washington
IAG,Niagara Falls
IAH,Houston
IAM,In Amenas
IAN,Kiana
IAO,Del Carmen
IAR,Yaroslavl
IAS,Iasi
IBA,Ibadan
IBE,Ibague
IBR,Ibaraki
IBZ,Ibiza
ICI,Cicia Island
ICN,Seoul
ICO,Sicogon
ICT,Wichita
IDA,Idaho Falls
IDR,Indore
IEG,Zielona Gora
IEV,Kyiv
IFJ,Isafjrour
IFN,Isfahan
IFO,Ivano-Frankivsk
IFP,Bullhead City
IFU,Ifuru
IGA,Inagua Islands
IGD,Igdir
IGG,Igiugig
IGM,Kingman
IGR,IguazU
IGS,Ingolstadt
IGT,Magas
IGU,Foz do Iguacu
IHR,Iranshahr
IIA,Inishmaan
IIL,Ilam
IJK,Izhevsk
IKA,Tehran
IKI,Iki
IKO,Nikolski
IKS,Tiksi
IKT,Irkutsk
IKU,Tamchy
ILD,Lleida
ILG,Wilmington
ILI,Iliamna
ILM,Wilmington
ILN,Wilmington
ILO,Iloilo
ILP,Ile des Pins
ILQ,Ilo
ILR,Ilorin
ILY,Islay
ILZ,Zilina
IMF,Imphal
IMK,Simikot
IMO,Zemio
IMP,Imperatriz
IMQ,Maku
IMT,Iron Mountain
INA,Inta
INB,Independence
INC,Yinchuan
IND,Indianapolis
INF,In Guezzam
INH,Inhambane
INI,Nis
INL,International Falls
INN,Innsbruck
INO,Inongo
INQ,Inisheer
INT,Winston-Salem
INU,NauruIsland
INV,Inverness
INZ,In Salah
IOA,Ioannina
IOM,Ronaldsway
IOR,Inishmore
IOS,Ilheus
IOT,Avannaata
IPA,Ipota
IPC,Easter Island
IPH,Ipoh
IPI,Ipiales
IPL,Imperial
IPN,Ipatinga
IPT,Williamsport
IPZ,San Isidro de El General
IQM,Qiemo
IQN,Qingyang
IQQ,Iquique
IQT,Iquitos
IRA,Kirakira
IRC,Circle
IRD,Ishwardi
IRE,Irece
IRG,Lockhart River
IRI,Iringa
IRJ,La Rioja
IRK,Kirksville
IRM,Igrim
IRP,Isiro
IRZ,Santa Isabel do Rio Negro
ISA,Mount Isa
ISB,Islamabad
ISC,Isles of Scilly
ISE,Isparta
ISG,Ishigaki
ISK,Nashik
ISL,Istanbul
ISN,Williston
ISO,Kinston
ISP,Islip
IST,Istanbul
ISU,Sulaymaniyah
ITB,Itaituba
ITH,Ithaca
ITK,Itokama
ITM,Osaka
ITO,Hilo
ITU,Iturup
IUE,Niue Island
IVC,Invercargill
IVL,Ivalo
IVR,Inverell
IWA,Ivanovo
IWD,Ironwood
IWJ,Iwami
IWK,Iwakuni
IWO,Iwo Jima
IXA,Agartala
IXB,Bagdogra
IXC,Chandigarh
IXD,Allahabad
IXE,Mangalore
IXG,Belgaum
IXI,Lilabari
IXJ,Jammu
IXK,Keshod
IXL,Leh
IXM,Madurai
IXP,Pathankot
IXQ,Kamalpur
IXR,Ranchi
IXS,Silchar
IXT,Pasighat
IXU,Aurangabad
IXV,Along
IXW,Jamshedpur
IXX,Bidar
IXY,Kandla
IXZ,Port Blair
IYK,Inyokern
IZA,Juiz de Fora
IZO,Izumo
IZT,Ixtepec
JAA,Jalalabad
JAC,Jackson
JAD,Perth
JAE,Jaen
JAF,Jaffna
JAI,Jaipur
JAK,Jacmel
JAL,Jalapa
JAN,Jackson
JAR,Jahrom
JAU,Jauja
JAV,Ilulissat
JAX,Jacksonville
JBB,Jember
JBQ,Santo Domingo
JBR,Jonesboro
JCB,Joacaba
JCI,Olathe
JCK,Julia Creek
JDF,Juiz de Fora
JDH,Jodhpur
JDO,Juazeiro do Norte
JDR,Sao Joao del Rei
JDZ,Jingdezhen
JED,Jeddah
JEE,Jeremie
JEG,Aasiaat
JEJ,Jeh Island
JEK,Jeki
JEQ,Jequie
JER,Jersey
JFK,New York
JFR,Paamiut
JGA,Jamnagar
JGB,Jagdalpur
JGD,Jiagedaqi
JGN,Jiayuguan
JGS,Ji'an
JHB,Johor Bahru
JHG,Jinghong
JHM,Kapalua
JHS,Sisimiut
JHW,Jamestown
JIA,JuIna
JIB,Djibouti
JIC,Jinchang
JIJ,Jijiga
JIK,Ikaria Island
JIM,Jimma
JIN,Jinja
JIO,Tiakur
JIQ,Qianjiang
JIU,Jiujiang
JJA,Jajao
JJD,Cruz
JJG,Jaguaruna
JJM,Meru National Park
JJN,Jinjiang
JKG,Jnkping
JKH,Chios Island
JKL,Kalymnos
JKR,Janakpur
JLN,Joplin
JLR,Jabalpur
JMJ,Lancang
JMK,Mykonos
JMO,Jomsom
JMS,Jamestown
JMU,Jiamusi
JNB,Johannesburg
JNJ,Duqm
JNU,Juneau
JNX,Naxos
JNZ,Jinzhou
JOE,Joensuu
JOG,Yogyakarta
JOI,Joinville
JOK,Yoshkar-Ola
JOL,Jolo
JOM,Njombe
JOS,Jos
JPA,Joao Pessoa
JPR,Ji-Parana
JQA,Qaarsut
JQE,Jaque
JRF,Kapalua
JRG,Jharsuguda
JRH,Jorhat
JRO,Kilimanjaro
JSA,Jaisalmer
JSH,Sitia
JSI,Skiathos
JSJ,Jiansanjiang
JSK,Jask
JSR,Jessore
JST,Johnstown
JSU,Maniitsoq
JSY,Syros
JTC,Bauru
JTR,Thira
JTY,Astypalaia
JUA,Juara
JUB,Juba
JUH,Chizhou
JUI,Juist
JUJ,Jujuy
JUL,Juliaca
JUM,Jumla
JUV,Upernavik
JUZ,Quzhou
JVA,Ankavandra
JVL,Janesville
JWN,Zanjan
JXA,Jixi
JYR,Jiroft
JYV,JyvAskylA
JZH,Jiuzhaigou
KAA,Kasama
KAB,Kariba
KAC,Kamishly
KAD,Kaduna
KAE,Kake
KAJ,Kajaani
KAL,Kaltag
KAN,Kano
KAO,Kuusamo
KAS,Karasburg
KAT,Kaitaia
KAW,Kawthaung
KAX,Kalbarri
KAY,Wakaya Island
KAZ,Kao
KBC,Birch Creek
KBL,Kabul
KBP,Kyiv
KBR,Kota Bharu
KBT,Kaben
KBU,Kotabaru
KBV,Krabi
KBZ,Kaikoura
KCA,Kuqa
KCC,Coffman Cove
KCF,Kadanwari
KCG,Chignik
KCH,Kuching
KCK,Kirensk
KCL,Chignik Lagoon
KCM,KahramanmaraS
KCO,Kocaeli
KCQ,Chignik Lake
KCT,Koggala
KCZ,Kochi
KDA,Kolda
KDH,Kandahar
KDI,Kendari
KDK,Kodiak
KDL,KArdla
KDM,Kaadedhdhoo Island
KDN,Ndende
KDO,Kadhdhoo Island
KDU,Skardu
KDV,Kadavu
KDX,Kaduqli
KDY,Khandyga
KDZ,Kandy
KEB,Nanwalek
KEC,Kasenga
KED,Kaedi
KEF,ReykjavIk
KEH,Kenmore
KEJ,Kemerovo
KEK,Ekwok
KEL,Kiel
KEM,Kemi-Tornio
KEO,Odienne
KEP,Nepalgunj
KER,Kerman
KET,Kengtung
KEU,Keekorok
KEW,Keewaywin
KEZ,Colombo
KFE,Cloudbreak
KFP,False Pass
KFS,Kastamonu
KFZ,Kukes
KGA,Kananga
KGC,Kingscote
KGD,Kaliningrad
KGE,Kaghau Island
KGF,Karaganda
KGI,Kalgoorlie
KGJ,Karonga
KGK,Koliganek
KGL,Kigali
KGP,Kogalym
KGS,Kos
KGT,Kangding
KGX,Grayling
KHD,Khorramabad
KHE,Kherson
KHG,Kashgar
KHH,Kaohsiung
KHI,Karachi
KHK,Kharg Island
KHM,Khamti
KHN,Nanchang
KHS,Khasab
KHT,Khost
KHV,Khabarovsk
KHX,Kihihi
KHY,Khoy
KHZ,Kauehi
KID,Kristianstad
KIE,Kieta
KIF,Kingfisher Lake
KIH,Kish Island
KIJ,Niigata
KIK,Kirkuk
KIM,Kimberley
KIN,Kingston
KIO,Kili Island
KIR,Kerry
KIS,Kisumu
KIT,Kythira
KIW,Kitwe
KIX,Osaka
KIY,Kilwa Masoko
KJA,Krasnoyarsk
KJB,Orvakal
KJH,HuangPing
KJI,Burqin
KJK,Kortrijk
KJT,Majalengka
KKA,Koyuk
KKB,Kitoi Bay
KKC,Khon Kaen
KKD,Kokoda
KKE,Kerikeri
KKH,Kongiganak
KKI,Akiachak
KKJ,Kitakyushu
KKM,Lopburi
KKN,Kirkenes
KKQ,Krasnoselkup
KKR,Kaukura Atoll
KKS,Kashan
KKU,Ekuk
KKX,Kikai
KLB,Kalabo
KLD,Tver
KLF,Kaluga
KLG,Kalskag
KLH,Kolhapur
KLL,Levelock
KLM,Kalaleh
KLN,Larsen Bay
KLO,Kalibo
KLR,Kalmar
KLU,Klagenfurt
KLV,Karlovy Vary
KLW,Klawock
KLX,Kalamata
KMA,Kerema
KMC,King Khalid Military City
KME,Cyangugu
KMG,Kunming
KMI,Miyazaki
KMJ,Kumamoto
KMN,Kamina
KMO,Manokotak
KMQ,Komatsu
KMS,Kumasi
KMU,Kismayo
KMV,Kalaymyo
KMW,Kostroma
KMY,Moser Bay
KND,Kindu
KNG,Utarom
KNH,Kinmen
KNK,Kokhanok
KNO,Medan
KNQ,Kone
KNR,Kangan
KNS,King Island
KNU,Kanpur
KNW,New Stuyahok
KNX,Kununurra
KOA,Kona
KOC,Koumac
KOE,Kupang
KOI,Kirkwall
KOJ,Kagoshima
KOK,Kokkola-Pietarsaari
KOM,Komo-Manda
KOO,Kongolo
KOP,Nakhon Phanom
KOS,Sihanoukville
KOT,Kotlik
KOU,Koulamoutou
KOV,Kokshetau
KOW,Ganzhou
KOY,Olga Bay
KOZ,Ouzinkie
KPB,Point Baker
KPC,Port Clarence
KPN,Kipnuk
KPO,Pohang
KPR,Port Williams
KPV,Perryville
KPW,Keperveyem
KPY,Port Bailey
KQA,Akutan
KQH,Kishangarh
KQT,Qurghonteppa
KRB,Karumba
KRC,Kerinci
KRF,Kramfors-Solleftea
KRI,Kikori
KRK,Krakow
KRL,Korla
KRN,Kiruna
KRO,Kurgan
KRP,Karup
KRR,Krasnodar
KRS,Kristiansand
KRT,Khartoum
KRW,TrkmenbaSy
KRY,Karamay
KRZ,Kiri
KSA,Kosrae
KSC,Kosice
KSD,Karlstad
KSE,Kasese
KSF,Kassel
KSH,Kermanshah
KSJ,Kasos Island
KSL,Kassala
KSM,St. Mary's
KSN,Kostanay
KSO,Kastoria
KSQ,Karshi
KSR,Selayar Islands
KSU,Kristiansund
KSY,Kars
KSZ,Kotlas
KTA,Karratha
KTB,Thorne Bay
KTD,Kitadaito
KTE,Kerteh
KTF,Takaka
KTG,Ketapang
KTJ,Narok
KTL,Kitale
KTM,Kathmandu
KTN,Ketchikan
KTP,Kingston
KTR,Katherine
KTS,Brevig Mission
KTT,KittilA
KTU,Kota
KTW,Katowice
KUA,Kuantan
KUC,Kuria
KUD,Kudat
KUF,Samara
KUG,Kubin
KUH,Kushiro
KUK,Kasigluk
KUL,Kuala Lumpur
KUM,Yakushima
KUN,Kaunas
KUO,Kuopio
KUS,Kulusuk
KUT,Kutaisi
KUU,Kullu
KUV,Gunsan
KVA,Kavala
KVB,Skvde
KVC,King Cove
KVG,Kavieng
KVK,Kirovsk-Apatity
KVL,Kivalina
KVM,Markovo
KVO,Kraljevo
KVR,Kavalerovo
KVX,Kirov
KWA,Kwajalein
KWB,Karimun Java
KWE,Guiyang
KWF,Waterfall
KWG,Kryvyi Rih
KWI,Kuwait
KWJ,Gwangju
KWK,Kwigillingok
KWL,Guilin
KWM,Kowanyama
KWN,Quinhagak
KWP,West Point
KWS,Kwailabesi
KWT,Kwethluk
KWZ,Kolwezi
KXA,Kasaan
KXB,Kolaka
KXF,Koro Island
KXK,Komsomolsk-on-Amur
KXU,Katiu
KYA,Konya
KYD,Lanyu
KYE,Tripoli
KYK,Karluk
KYP,Kyaukpyu
KYS,Kayes
KYU,Koyukuk
KYZ,Kyzyl
KZB,Zachar Bay
KZI,Kozani
KZN,Kazan
KZO,Kyzylorda
KZR,Ktahya
KZS,Megisti
LAD,Luanda
LAE,Lae
LAF,Lafayette
LAH,Labuha
LAI,Lannion
LAJ,Lages
LAK,Aklavik
LAL,Lakeland
LAM,Los Alamos
LAN,Lansing
LAO,Laoag
LAP,La Paz
LAQ,Bayda
LAR,Laramie
LAS,Las Vegas
LAU,Lamu
LAW,Lawton
LAX,Los Angeles
LBA,Leeds-Bradford
LBB,Lubbock
LBC,Lbeck
LBD,Khujand
LBE,Latrobe
LBF,North Platte
LBG,Paris
LBJ,Labuan Bajo
LBL,Liberal
LBN,Lake Baringo
LBO,Lusambo
LBP,Long Banga
LBR,Labrea
LBS,Labasa
LBU,Labuan
LBV,Libreville
LBW,Long Bawan
LBX,Lubang
LCA,Larnaca
LCE,La Ceiba
LCG,aCoruna
LCH,Lake Charles
LCJ,Lodz
LCK,Columbus
LCM,La Cumbre
LCP,Loncopue
LCR,La Chorrera
LCX,Longyan
LCY,London
LDA,Malda
LDB,Londrina
LDE,Tarbes-Lourdes
LDG,Leshukonskoye
LDH,Lord Howe Island
LDI,Lindi
LDN,Lamidanda
LDS,Yichun
LDU,Lahad Datu
LDY,Londonderry
LDZ,Londolozi
LEA,Learmonth
LEB,Lebanon
LEC,Lencois
LED,Saint Petersburg
LEE,Leesburg
LEH,Le Havre
LEI,AlmerIa
LEJ,Leipzig
LEL,Gapuwiyak
LEN,Leon
LEQ,Land'sEnd
LER,Leinster
LET,Leticia
LEU,La Seu d'Urgell
LEV,Levuka
LEX,Lexington
LEY,Lelystad
LFM,Lamerd
LFP,Lakefield
LFQ,Linfen
LFR,La FrIa
LFT,Lafayette
LFW,Lome
LGA,New York
LGB,Long Beach
LGG,Liege
LGI,Deadman's Cay
LGK,Langkawi
LGL,Long Lellang
LGQ,LagoAgrio
LGS,Malarge
LGU,Logan
LGW,London
LHA,Lahr
LHE,Lahore
LHR,London
LHW,Lanzhou
LIF,Lifou
LIG,Limoges
LIH,Lihue
LIK,Likiep Atoll
LIL,Lille
LIM,Lima
LIN,Milan
LIO,Limon
LIQ,Lisala
LIR,Liberia
LIS,Lisbon
LIT,Little Rock
LIW,Loikaw
LIX,Likoma Island
LJA,Lodja
LJG,Lijiang
LJU,Ljubljana
LKA,Larantuka
LKB,Lakeba Island
LKE,Seattle
LKG,Lokichogio
LKH,Long Akah
LKL,Lakselv
LKN,Leknes
LKO,Lucknow
LKY,Lake Manyara
LLA,Lulea
LLB,Libo
LLC,Lal-lo
LLF,Yongzhou
LLG,Chillagoe
LLI,Lalibela
LLJ,Lubuklinggau
LLK,Lankaran
LLM,ReefIslands
LLO,Palopo
LLV,Lliang
LLW,Lilongwe
LMA,Lake Minchumina
LMC,La Macarena
LME,Le Mans
LML,Lae Atoll
LMM,Los Mochis
LMN,Limbang
LMP,Lampedusa
LMT,Klamath Falls
LMU,JemajaIsland
LMV,Madivaru
LMY,Lake Murray
LMZ,Palma
LNB,Lamen Bay
LNC,Lengbati
LNE,Lonorore
LNJ,Lincang
LNK,Lincoln
LNL,Longnan
LNO,Leonora
LNS,Lancaster
LNV,Lihir Island
LNY,Lanai City
LNZ,Linz
LOD,Longana
LOE,Loei
LOH,Loja
LOK,Lodwar
LOO,Laghouat
LOP,Praya
LOS,Lagos
LOV,Monclova
LOY,Loiyangalani
LOZ,London
LPA,LasPalmas
LPB,La Paz
LPC,Lompoc
LPD,La Pedrera
LPF,Liupanshui
LPG,La Plata
LPI,Linkping
LPK,Lipetsk
LPL,Liverpool
LPM,Lamap
LPP,Lappeenranta
LPQ,Luang Prabang
LPS,Lopez Island
LPT,Lampang
LPU,Long Apung
LPX,Liepja
LPY,Le Puy-en-Velay
LQM,Puerto LeguIzamo
LQN,Qala i Naw
LRD,Laredo
LRE,Longreach
LRH,La Rochelle
LRL,Niamtougou
LRM,La Romana
LRR,Lar
LRS,Leros
LRT,Lorient
LRV,Los Roques
LSA,Kiriwina Island
LSC,La Serena
LSE,La Crosse
LSH,Lashio
LSI,Shetland Islands
LSO,Les Sables-dOlonne
LSP,Punto Fijo
LSQ,Los angeles
LST,Launceston
LSV,Las Vegas
LSW,Lhokseumawe
LSY,Lismore
LSZ,MaliLosinj
LTD,Ghadames
LTI,Altai
LTK,Latakia
LTM,Lethem
LTN,London
LTO,Loreto
LTQ,Le Touquet
LTT,Saint-Tropez
LTU,Latur
LTX,Latacunga
LUA,Lukla
LUC,Laucala Island
LUD,Lderitz
LUG,Lugano
LUH,Ludhiana
LUK,Cincinnati
LUM,Mangshi
LUN,Lusaka
LUO,Luena
LUP,Kalaupapa
LUQ,San Luis
LUR,Cape Lisburne
LUS,Lusanga
LUV,Langgur
LUW,Luwuk
LUX,Luxembourg
LUZ,Lublin
LVI,Livingstone
LVK,Livermore
LVO,Laverton
LVP,Lavan Island
LVR,Lucas do Rio Verde
LWA,Lebak
LWB,Lewisburg
LWE,Lewoleba
LWK,Lerwick
LWN,Gyumri
LWO,Lviv
LWS,Lewiston
LWT,Lewistown
LWY,Lawas
LXA,Lhasa
LXG,Luang Namtha
LXR,Luxor
LXS,Lemnos
LYA,Luoyang
LYB,Little Cayman
LYC,Lycksele
LYG,Lianyungang
LYH,Lynchburg
LYI,Linyi
LYN,Lyon
LYP,Faisalabad
LYR,Longyearbyen
LYS,Lyon
LYX,Lydd
LZC,Lazaro Cardenas
LZH,Liuzhou
LZI,Luozi
LZN,Matsu
LZO,Luzhou
LZR,Lizard Island
LZU,Lawrenceville
LZY,Nyingchi
MAA,Chennai
MAB,Maraba
MAD,Madrid
MAF,Midland
MAG,Madang
MAH,Menorca
MAJ,Majuro
MAK,Malakal
MAM,Matamoros
MAN,Manchester
MAO,Manaus
MAQ,Mae Sot
MAR,Maracaibo
MAS,Manus Island
MAT,Matadi
MAU,Maupiti
MAV,Maloelap Atol
MAX,Matam
MAY,Mangrove Cay
MAZ,Mayagez
MBA,Mombasa
MBD,Mmabatho
MBE,Monbetsu
MBI,Mbeya
MBJ,Montego Bay
MBL,Manistee
MBO,Mamburao
MBS,Saginaw
MBT,Masbate
MBW,Melbourne
MBX,Maribor
MCE,Merced
MCG,McGrath
MCI,Kansas City
MCJ,Maicao
MCK,McCook
