행선국(지역),2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월
괌,1046,345,768,3529,11407,19340,32163,28699,22823,27967,26530,36671,40366,39674,36831,36265,29511,3104,28161,32543,30512,30950,32526,41499,47679,43051,32528,29484,29542,26714,30736
기타,62157,51739,60351,72371,91443,87980,107330,112850,107523,119463,135039,168783,108754,107816,117032,128727,148167,163143,179204,181842,171371,186433,180876,231229,253606,234885,220491,233469,277468,280549,305032
네덜란드,0,0,0,0,0,0,0,0,0,0,0,0,4951,4978,3585,4389,5577,7270,7094,5383,8111,6720,6267,0,0,0,0,0,0,0,0
네팔,0,0,0,0,0,0,0,0,0,0,0,0,1004,826,993,939,546,323,644,515,968,1072,956,0,0,0,0,0,0,0,0
뉴질랜드,0,0,0,0,0,0,0,0,0,0,0,0,5495,4987,3766,4148,3583,2793,4189,2439,4002,4294,6873,7118,8369,8099,6136,2505,2316,1860,2851
독일,3335,2092,3378,5307,9096,14193,16871,17322,19010,17956,13933,13367,17030,13939,15321,17500,21898,23672,26962,24721,27915,24211,17596,17143,20756,14764,15176,18271,21215,22512,21410
라오스,0,0,0,0,0,0,0,0,0,0,0,0,15950,18104,8042,5412,7352,7001,7044,6882,7366,10481,17146,25914,35470,31112,24935,11605,10753,10857,11619
말레이시아,1171,846,871,2737,3266,6015,16901,15681,11636,13059,17356,24957,40305,37463,25968,18855,23980,27981,47716,44351,29579,25406,26874,37007,58826,39879,28749,29831,29359,32890,48295
몽골,0,0,0,0,0,0,0,0,0,0,0,0,1690,1844,2171,3267,6544,16841,31353,32780,18042,6828,2838,0,0,0,0,0,0,0,0
미국,39124,18548,24535,38352,57979,65999,86196,91628,74279,72377,67700,77913,100932,68005,63329,74421,86559,89300,106379,102015,109459,95103,79577,93316,119041,83487,69452,81536,97912,95298,116309
베트남,4184,6680,8421,20382,36375,62733,135681,141392,108525,132271,160519,234591,273775,274516,248493,250730,253890,274499,342076,350724,299265,303264,327790,399321,431321,390904,364862,343438,334883,331543,386775
북마리아나군도,1471,2891,2860,4330,5281,7414,8687,8166,6521,9105,8836,9907,9622,11444,7616,9737,13793,17182,20560,19656,16078,15890,13179,15545,15375,14787,14253,14375,13334,13777,16191
사우디아라비아,0,0,0,0,0,0,0,0,0,0,0,0,1863,927,643,900,1664,1110,1920,2046,2735,2075,409,0,0,0,0,0,0,0,0
스페인,1120,1421,1225,3100,4867,2174,678,1500,3987,4225,4636,4384,5223,5132,5201,7783,10471,9414,8217,7730,12312,13203,12424,11831,13789,13230,10342,12873,12903,9575,8215
싱가포르,4958,2951,3681,6413,10432,18297,33932,32132,29176,30409,34328,32838,58781,56932,36268,33675,43182,42825,62284,56227,50700,46855,41212,35146,66525,56698,38015,39143,41333,41769,57218
아랍에미리트연합,3753,1737,2998,2508,3654,11928,19974,17886,17077,19567,15912,16419,23594,19116,16811,17556,21126,20377,21462,20198,22435,21817,18829,19312,23027,20373,17691,21289,26911,21997,25489
에티오피아,0,0,0,0,0,0,0,0,0,0,0,0,1883,1193,849,892,1364,1337,2146,1629,1655,1438,1251,0,0,0,0,0,0,0,0
영국,3175,1634,2315,4346,5860,6549,7220,5831,7466,6607,6139,7639,10272,8997,7899,7958,11385,11266,13146,11615,13125,10656,8993,10508,11288,10303,7810,9876,11822,11856,14469
오스트레일리아,2534,2969,3431,5018,4992,4427,4984,4304,4283,4922,9850,13602,19999,23491,17192,14655,17453,17856,20589,26281,24806,23951,27605,0,0,0,0,0,0,0,0
오스트리아,0,0,0,0,0,0,0,0,0,0,0,0,2525,2459,2985,3380,4278,3798,3714,3664,4106,3843,2402,0,0,0,0,0,0,0,0
우즈베키스탄,0,0,0,0,0,0,0,0,0,0,0,0,2437,1522,1533,2117,2419,2508,3521,3035,3415,2648,1889,0,0,0,0,0,0,0,0
이스라엘,0,0,0,0,0,0,0,0,0,0,0,0,1693,1753,1519,945,1491,1147,1386,1464,1619,320,0,0,0,0,0,0,0,0,0
이탈리아,0,0,0,0,0,0,0,0,0,0,0,0,7482,7222,8650,14292,16933,15780,14235,12790,15780,17207,10391,10397,13567,12018,12131,15700,17358,16930,16495
인도,1077,893,1021,1499,2644,2305,2593,2222,2073,2330,2714,2797,4250,3476,3268,2967,2377,2829,4366,3246,3634,4357,4761,0,0,0,0,0,0,0,0
인도네시아,1941,1981,2269,3712,7225,6703,11077,11257,11036,14041,14345,16683,19439,17297,15328,14483,18876,17790,22531,21989,21662,19849,18981,20414,25516,22054,16419,20665,22296,23647,31522
일본,2589,1931,8395,10345,13261,16856,30170,42623,43069,132919,326122,464980,576313,566582,471099,468221,516279,528135,613490,560622,559029,609713,633114,760143,836570,788183,647905,647372,711429,681871,741362
중국,4164,3928,2474,1303,2182,2612,3337,6410,6682,7213,6432,5466,14115,18263,25915,46406,68499,92293,120956,136856,136556,148735,130886,130207,142377,142429,156109,173281,192740,197693,194671
카자흐스탄,0,0,0,0,0,0,0,0,0,0,0,0,1632,1075,1033,1604,2262,3126,3999,3139,3149,2298,1191,0,0,0,0,0,0,0,0
카타르,0,0,0,0,0,0,0,0,0,0,0,0,8971,7072,5742,5868,7175,6481,7294,6250,7667,7347,6310,0,0,0,0,0,0,0,0
캄보디아,1227,1123,1464,2355,2796,2790,3888,3751,3239,3233,3856,5884,14619,12552,4993,4650,4838,4949,6698,6401,5383,5733,5227,8335,19299,16169,5483,4828,5000,5990,8391
캐나다,5113,3259,4058,5411,7474,10478,14518,15412,12335,9171,7689,9630,11084,7508,7185,7348,10411,12481,16768,12535,14214,11807,6956,9588,11002,8087,7389,8579,11568,13681,19760
타이완,0,0,0,0,0,0,0,0,0,0,0,0,35400,56169,48769,55962,54757,42649,45628,48132,64422,69222,82039,100171,107956,105595,88276,65800,62962,48095,50304
태국,2371,2498,3313,8072,13886,22613,54470,60507,51419,63849,83041,118046,155580,144383,103748,85343,94252,112142,138530,134504,121406,115377,132812,171135,199411,171343,134114,111738,114509,120386,146320
튀르키예,1537,868,1308,2828,5474,6956,10782,11261,12996,13969,12511,12637,16317,13505,10750,11266,14824,15519,16700,15578,19290,17061,12662,13264,16813,13567,13666,15408,18394,17047,16424
폴란드,1153,1146,1508,1929,1869,3021,4956,4079,4174,3632,2637,3148,4688,3668,2944,3016,3435,3899,4456,3759,4218,3148,2352,0,0,0,0,0,0,0,0
프랑스,2060,1514,2385,5014,8009,9216,12557,12624,17960,16335,13120,13857,16496,14255,13914,14784,17004,21329,19513,15601,22166,18527,15486,16273,18934,16343,14446,17132,18838,18372,15319
핀란드,0,0,0,0,0,0,0,0,0,0,0,0,5793,4350,3639,4393,5805,6066,6497,6328,6144,4291,3731,0,0,0,0,0,0,0,0
필리핀,1034,2652,5728,11087,16541,27118,55746,54630,43683,48993,68737,98585,129609,125872,103822,93231,107003,121320,146858,140075,118501,116407,124206,155202,177950,161436,130098,121322,122594,119780,152252
헝가리,1372,1526,1415,1723,2062,2262,1891,2304,1809,3279,3296,3783,4847,4283,4649,6175,6901,6325,6632,6616,6954,5970,4223,0,0,0,0,0,0,0,0
호주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29306,30080,37120,25111,21553,24877,23385,28925
홍콩,0,0,0,0,0,0,0,0,0,0,0,0,10690,14687,15814,16317,19324,17688,22053,24161,30569,32156,42693,49447,69128,58463,43375,43118,39403,34029,38224
