년,월,도착지,내국인출국자
2023,12,일본,760143 
2023,12,베트남,399321 
2023,12,태국,171135 
2023,12,필리핀,155202 
2023,12,중국,130207 
2023,12,미국,93316 
2023,12,타이완,100171 
2023,12,홍콩,49447 
2023,12,싱가포르,35146 
2023,12,말레이시아,37007 
2023,12,괌,41499 
2023,12,라오스,25914 
2023,12,호주,29306 
2023,12,인도네시아,20414 
2023,12,아랍에미리트연합,19312 
2023,12,독일,17143 
2023,12,캄보디아,8335 
2023,12,프랑스,16273 
2023,12,튀르키예,13264 
2023,12,북마리아나군도,15545 
2023,12,스페인,11831 
2023,12,이탈리아,10397 
2023,12,영국,10508 
2023,12,캐나다,9588 
2023,12,뉴질랜드,7118 
2023,12,기타,231229 
2024,01,일본,836570 
2024,01,베트남,431321 
2024,01,태국,199411 
2024,01,필리핀,177950 
2024,01,중국,142377 
2024,01,미국,119041 
2024,01,타이완,107956 
2024,01,홍콩,69128 
2024,01,싱가포르,66525 
2024,01,말레이시아,58826 
2024,01,괌,47679 
2024,01,라오스,35470 
2024,01,호주,30080 
2024,01,인도네시아,25516 
2024,01,아랍에미리트연합,23027 
2024,01,독일,20756 
2024,01,캄보디아,19299 
2024,01,프랑스,18934 
2024,01,튀르키예,16813 
2024,01,북마리아나군도,15375 
2024,01,스페인,13789 
2024,01,이탈리아,13567 
2024,01,영국,11288 
2024,01,캐나다,11002 
2024,01,뉴질랜드,8369 
2024,01,기타,253606 
2024,02,일본,788183 
2024,02,베트남,390904 
2024,02,태국,171343 
2024,02,필리핀,161436 
2024,02,중국,142429 
2024,02,미국,83487 
2024,02,타이완,105595 
2024,02,홍콩,58463 
2024,02,싱가포르,56698 
2024,02,말레이시아,39879 
2024,02,괌,43051 
2024,02,라오스,31112 
2024,02,호주,37120 
2024,02,인도네시아,22054 
2024,02,아랍에미리트연합,20373 
2024,02,독일,14764 
2024,02,캄보디아,16169 
2024,02,프랑스,16343 
2024,02,튀르키예,13567 
2024,02,북마리아나군도,14787 
2024,02,스페인,13230 
2024,02,이탈리아,12018 
2024,02,영국,10303 
2024,02,캐나다,8087 
2024,02,뉴질랜드,8099 
2024,02,기타,234885 
2024,03,일본,647905 
2024,03,베트남,364862 
2024,03,태국,134114 
2024,03,필리핀,130098 
2024,03,중국,156109 
2024,03,미국,69452 
2024,03,타이완,88276 
2024,03,홍콩,43375 
2024,03,싱가포르,38015 
2024,03,말레이시아,28749 
2024,03,괌,32528 
2024,03,라오스,24935 
2024,03,호주,25111 
2024,03,인도네시아,16419 
2024,03,아랍에미리트연합,17691 
2024,03,독일,15176 
2024,03,캄보디아,5483 
2024,03,프랑스,14446 
2024,03,튀르키예,13666 
2024,03,북마리아나군도,14253 
2024,03,스페인,10342 
2024,03,이탈리아,12131 
2024,03,영국,7810 
2024,03,캐나다,7389 
2024,03,뉴질랜드,6136 
2024,03,기타,220491 
2024,04,일본,647372 
2024,04,베트남,343438 
2024,04,태국,111738 
2024,04,필리핀,121322 
2024,04,중국,173281 
2024,04,미국,81536 
2024,04,타이완,65800 
2024,04,홍콩,43118 
2024,04,싱가포르,39143 
2024,04,말레이시아,29831 
2024,04,괌,29484 
2024,04,라오스,11605 
2024,04,호주,21553 
2024,04,인도네시아,20665 
2024,04,아랍에미리트연합,21289 
2024,04,독일,18271 
2024,04,캄보디아,4828 
2024,04,프랑스,17132 
2024,04,튀르키예,15408 
2024,04,북마리아나군도,14375 
2024,04,스페인,12873 
2024,04,이탈리아,15700 
2024,04,영국,9876 
2024,04,캐나다,8579 
2024,04,뉴질랜드,2505 
2024,04,기타,233469 
2024,05,일본,711429 
2024,05,베트남,334883 
2024,05,태국,114509 
2024,05,필리핀,122594 
2024,05,중국,192740 
2024,05,미국,97912 
2024,05,타이완,62962 
2024,05,홍콩,39403 
2024,05,싱가포르,41333 
2024,05,말레이시아,29359 
2024,05,괌,29542 
2024,05,라오스,10753 
2024,05,호주,24877 
2024,05,인도네시아,22296 
2024,05,아랍에미리트연합,26911 
2024,05,독일,21215 
2024,05,캄보디아,5000 
2024,05,프랑스,18838 
2024,05,튀르키예,18394 
2024,05,북마리아나군도,13334 
2024,05,스페인,12903 
2024,05,이탈리아,17358 
2024,05,영국,11822 
2024,05,캐나다,11568 
2024,05,뉴질랜드,2316 
2024,05,기타,277468 
2024,06,일본,681871 
2024,06,베트남,331543 
2024,06,태국,120386 
2024,06,필리핀,119780 
2024,06,중국,197693 
2024,06,미국,95298 
2024,06,타이완,48095 
2024,06,홍콩,34029 
2024,06,싱가포르,41769 
2024,06,말레이시아,32890 
2024,06,괌,26714 
2024,06,라오스,10857 
2024,06,호주,23385 
2024,06,인도네시아,23647 
2024,06,아랍에미리트연합,21997 
2024,06,독일,22512 
2024,06,캄보디아,5990 
2024,06,프랑스,18372 
2024,06,튀르키예,17047 
2024,06,북마리아나군도,13777 
2024,06,스페인,9575 
2024,06,이탈리아,16930 
2024,06,영국,11856 
2024,06,캐나다,13681 
2024,06,뉴질랜드,1860 
2024,06,기타,280549 
2024,07,일본,741362 
2024,07,베트남,386775 
2024,07,태국,146320 
2024,07,필리핀,152252 
2024,07,중국,194671 
2024,07,미국,116309 
2024,07,타이완,50304 
2024,07,홍콩,38224 
2024,07,싱가포르,57218 
2024,07,말레이시아,48295 
2024,07,괌,30736 
2024,07,라오스,11619 
2024,07,호주,28925 
2024,07,인도네시아,31522 
2024,07,아랍에미리트연합,25489 
2024,07,독일,21410 
2024,07,캄보디아,8391 
2024,07,프랑스,15319 
2024,07,튀르키예,16424 
2024,07,북마리아나군도,16191 
2024,07,스페인,8215 
2024,07,이탈리아,16495 
2024,07,영국,14469 
2024,07,캐나다,19760 
2024,07,뉴질랜드,2851 
2024,07,기타,305032 
